nx,ny,nz,dt,tsr,cp,cd
12.0,12.0,8.0,0.005,3.099999999999969,0.2887063013259885,0.8490322836346225
18.0,18.0,12.0,0.005,3.099999999999969,0.2763675526898535,0.8309388300088241
24.0,24.0,16.0,0.005,3.099999999999969,0.2633584852083893,0.8147210251488273
30.0,30.0,20.0,0.005,3.099999999999969,0.2538706389393117,0.8022291071363724
36.0,36.0,24.0,0.005,3.099999999999969,0.2476702117901693,0.7940028221299331
42.0,42.0,28.0,0.005,3.099999999999969,0.2435051205765253,0.7883307148473807
48.0,48.0,32.0,0.005,3.099999999999969,0.2406990771393588,0.7844063487222773
54.0,54.0,36.0,0.005,3.099999999999969,0.2387619599768296,0.7814554885541807
60.0,60.0,40.0,0.005,3.099999999999969,0.2374244992301409,0.7792985413561307
66.0,66.0,44.0,0.005,3.0999999999999686,0.23649524199616145,0.7774698003902482
72.0,72.0,48.0,0.005,3.099999999999968,0.23589251603980024,0.7761135512243446
78.0,78.0,52.0,0.005,3.0999999999999677,0.23548610166273012,0.7750230337906988
